vrel_knee_mps,fwd_knee_mps,bristle_velocity_mps,slide_gate_power,ridge,static_ridge,downweighted_fit_weight,anchor_extra_nm,in_place_max_abs_command,in_place_acceptance_pass,objective_with_gate,anchor_constraint_lagrange,objective_score,validation_objective_rb_corrected_rmse_nm,validation_objective_rb_baseline_rmse_nm,primary_rb_corrected_rmse_nm,open_fit_rb_corrected_rmse_nm,straight_rb_corrected_rmse_nm,high_forward_rb_corrected_rmse_nm,low_launch_rb_corrected_rmse_nm
0.05,0.7,0.024,2.0,0.03,0.0,0.0,0.06501335920678508,0.30465220923275793,False,10.357232303672326,0.0,0.061884512905085134,0.061884512905085134,0.051393686833940286,0.06969961312932035,0.08259642458128881,0.01211313730037898,0.0386060614273034,0.14365940936445415
0.05,0.7,0.024,2.0,0.1,0.0,0.0,0.06501335920678508,0.30461189513265496,False,10.357272589503163,0.0,0.06188448463581753,0.06188448463581753,0.051393686833940286,0.06969966738343564,0.0825966076542319,0.012112805057811087,0.03860627621820374,0.14365948033214485
0.06,0.7,0.024,2.0,0.003,0.0,0.0,0.06501335920678508,0.1217694196688727,False,10.540547113007182,0.0,0.06231653267605567,0.06231653267605567,0.051393686833940286,0.0702738438142024,0.08313138197999081,0.012184137877300393,0.038569543332548896,0.14432922263035114
0.06,0.7,0.024,2.0,0.01,0.0,0.0,0.06501335920678508,0.12176697033240373,False,10.540549557790385,0.0,0.06231652812278942,0.06231652812278942,0.051393686833940286,0.07027384887568497,0.08313139963714834,0.0121841038152754,0.03856956794445752,0.1443292282168491
0.06,0.7,0.024,2.0,0.03,0.0,0.0,0.06501335920678508,0.12175997386681164,False,10.540556541250504,0.0,0.06231651511731765,0.06231651511731765,0.051393686833940286,0.07027386333827093,0.08313145008592725,0.012184006519561894,0.03856963826092827,0.14432924417983747
0.06,0.7,0.024,2.0,0.1,0.0,0.0,0.06501335920678508,0.12173550534221403,False,10.540580964300963,0.0,0.06231646964317699,0.06231646964317699,0.051393686833940286,0.07027391397139031,0.08313162665380094,0.012183666268546053,0.03856988433043775,0.1443293000685489
0.08,0.7,0.024,2.0,0.1,0.0,0.0,0.06501335920678508,0.11392715868645936,False,10.549021858171281,0.0,0.06294901685774186,0.06294901685774186,0.051393686833940286,0.07072631043261032,0.08427921643396478,0.012344185153131581,0.038558797098511094,0.14514456400583767
0.08,0.7,0.024,2.0,0.03,0.0,0.0,0.06501335920678508,0.11392230193775817,False,10.549026797123872,0.0,0.06294909906163036,0.06294909906163036,0.051393686833940286,0.07072626394131676,0.08427908037786218,0.012344499430715668,0.03855851342901158,0.14514454513184402
0.08,0.7,0.024,2.0,0.01,0.0,0.0,0.06501335920678508,0.11392091191195021,False,10.549028210651585,0.0,0.06294912256353606,0.06294912256353606,0.051393686833940286,0.07072625066237025,0.08427904150840057,0.012344589302272443,0.038558432366414964,0.14514453974690894
0.08,0.7,0.024,2.0,0.003,0.0,0.0,0.06501335920678508,0.11392042515249083,False,10.549028705638296,0.0,0.06294913079078751,0.06294913079078751,0.051393686833940286,0.07072624601518891,0.0842790279044796,0.012344620765509188,0.038558403993018645,0.14514453786298384
