forward_velocity_bin_mps,yaw_rate_bin_radps,abs_yaw_rate_bin_radps,count,median_residual_additive_yaw_torque_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm
0.20,18.00,18.00,39,0.110292669,-0.110292669,-0.111523441,0.013880654,0.030361758
0.20,18.50,18.50,100,0.124062217,-0.124062217,-0.124646580,0.016418611,0.033401998
0.20,19.00,19.00,71,0.122526699,-0.122526699,-0.123184830,0.012739516,0.025209936
0.20,20.00,20.00,49,0.121665901,-0.121665901,-0.124084281,0.012604112,0.022632970
0.20,20.50,20.50,54,0.120941075,-0.120941075,-0.120941975,0.010371381,0.019147345
0.20,21.00,21.00,81,0.120503454,-0.120503454,-0.118828906,0.010751930,0.018980217
0.30,-14.50,14.50,64,-0.117607664,-0.117607664,-0.117649485,0.008076174,0.015766951
0.30,-14.00,14.00,26,-0.119221882,-0.119221882,-0.117827806,0.008124872,0.015598024
0.30,-13.50,13.50,307,-0.114506306,-0.114506306,-0.114579641,0.009216938,0.018000901
0.30,-13.00,13.00,423,-0.116489643,-0.116489643,-0.116948349,0.009301225,0.018307963
0.30,-12.50,12.50,215,-0.115872380,-0.115872380,-0.115852908,0.009922733,0.019943920
0.30,-12.00,12.00,119,-0.114727811,-0.114727811,-0.114022806,0.014465419,0.028775974
0.30,-11.50,11.50,208,-0.115787713,-0.115787713,-0.115050870,0.011666211,0.023889473
0.30,-11.00,11.00,293,-0.115273702,-0.115273702,-0.113916210,0.008486976,0.018013291
0.30,-10.50,10.50,269,-0.114701337,-0.114701337,-0.113499894,0.012315308,0.023713020
