dataset_split,physics_phase,feature,count,winsorized_run_balanced_corr_to_residual_opposes_yaw
diag_validation_only,all,front_rear_vrel_r_abs_delta_mps,11108,0.0
diag_validation_only,all,gyro_derivative_spike,11108,0.0
diag_validation_only,all,hardware_saturation_evidence,11108,0.0
diag_validation_only,all,left_right_drive_force_delta_n,11108,0.006799303779672694
diag_validation_only,all,left_right_normal_delta_n,11108,0.0
diag_validation_only,all,left_right_vrel_f_abs_delta_mps,11108,0.0
diag_validation_only,all,left_right_vrel_r_abs_delta_mps,11108,0.0
diag_validation_only,all,max_force_limiter_activity,11108,-0.6765021492266945
diag_validation_only,all,max_force_preprojection_utilization,11108,-0.7384488442110017
diag_validation_only,all,patch_yaw_abs_velocity_basis_m2ps,11108,-0.6550747634950492
diag_validation_only,all,patch_yaw_force_basis_nm,11108,0.971451549087495
diag_validation_only,all,patch_yaw_req_basis_nm,11108,0.796664199914588
diag_validation_only,all,patch_yaw_velocity_basis_m2ps,11108,0.6571622580283141
diag_validation_only,all,phase_entry,11108,-0.4086611619810325
diag_validation_only,all,phase_exit,11108,-0.11169400675124765
diag_validation_only,all,phase_progress,11108,-0.18818945287360742
diag_validation_only,all,vbar_rel_mps,11108,-0.6550470997826936
diag_validation_only,all,vbar_yaw_mps,11108,-0.6499470161965505
diag_validation_only,entry,abs_measured_yaw_accel_radps2,3215,-0.22670298125227414
diag_validation_only,entry,abs_yaw_rate_radps,3215,-0.5329587528388667
diag_validation_only,entry,avg_abs_vrel_f_mps,3215,-0.5418632652022924
diag_validation_only,entry,avg_abs_vrel_r_mps,3215,-0.5329587528610221
diag_validation_only,entry,current_proxy_abs_raw_over_unit_command_prior,3215,-0.6832393792381648
diag_validation_only,entry,front_rear_normal_delta_n,3215,0.0
diag_validation_only,entry,front_rear_vrel_f_abs_delta_mps,3215,0.0
diag_validation_only,entry,front_rear_vrel_r_abs_delta_mps,3215,0.0
diag_validation_only,entry,gyro_derivative_spike,3215,0.0
diag_validation_only,entry,hardware_saturation_evidence,3215,0.0
diag_validation_only,entry,left_right_drive_force_delta_n,3215,0.016012405484820275
diag_validation_only,entry,left_right_normal_delta_n,3215,0.0
diag_validation_only,entry,left_right_vrel_f_abs_delta_mps,3215,0.0
diag_validation_only,entry,left_right_vrel_r_abs_delta_mps,3215,0.0
diag_validation_only,entry,max_force_limiter_activity,3215,-0.6173801131545388
diag_validation_only,entry,max_force_preprojection_utilization,3215,-0.5793293357838157
